"url","status","title","metaDesc","canonical","h1","wordcount"
"https://www.salledeculte.com/","200","Proposer ou louer une salle pour vos évènements cultuels et célébrations | salledeculte.com","Trouvez et réservez une salle adaptée à vos événements cultuels en Île-de-France.","https://www.salledeculte.com","Trouvez et réservez un lieu adapté en toute sérénité","468"
"https://www.salledeculte.com/rechercher","200","Rechercher une salle | salledeculte.com","Trouvez une salle pour votre culte, baptême, conférence ou événement cultuel en Île-de-France. Filtrez par ville, capacité et type d&#x27;événement.","https://www.salledeculte.com/rechercher","Rechercher une salle pour votre culte ou événement cultuel en Île-de-France","202"
"https://www.salledeculte.com/blog","200","Blog | salledeculte.com","Conseils et guides pour organiser vos événements cultuels. Choisir une salle, normes ERP, réservation et bonnes pratiques.","https://www.salledeculte.com/blog","Blog","246"
"https://www.salledeculte.com/pricing","200","Tarifs et consultation gratuite | salledeculte.com","salledeculte.com propose une consultation gratuite. Les frais de service sont appliqués uniquement lors d&#x27;une réservation payée.","https://www.salledeculte.com/pricing","Tarifs et consultation gratuite","286"
"https://www.salledeculte.com/avantages","200","Pourquoi lister votre salle | Avantages propriétaires | salledeculte.com","Découvrez les avantages de proposer votre salle sur salledeculte.com. Plateforme pensée pour les propriétaires, gestion simplifiée, paiements sécurisés.","https://www.salledeculte.com/avantages","Mettez votre salleen location.On s&#x27;occupe du cadre.","456"
"https://www.salledeculte.com/centre-aide","200","Centre d&#x27;aide | salledeculte.com","Comment pouvons-nous vous aider ? Trouvez des réponses sur la recherche de salles, la mise en ligne de votre lieu et les questions générales.","https://www.salledeculte.com/centre-aide","Comment pouvons-nous vous aider ?","183"
"https://www.salledeculte.com/centre-aide/organisateur","200","Aide organisateur | salledeculte.com","Tout savoir sur la recherche et la réservation d&#x27;une salle sur salledeculte.com.","https://www.salledeculte.com/centre-aide/organisateur","Chercher une salle","561"
"https://www.salledeculte.com/centre-aide/proprietaire","200","Aide propriétaire | salledeculte.com","Découvrez comment proposer votre salle et recevoir des demandes ciblées sur salledeculte.com.","https://www.salledeculte.com/centre-aide/proprietaire","Propriétaire","508"
"https://www.salledeculte.com/centre-aide/general","200","Questions générales | salledeculte.com","Questions fréquentes et informations générales sur salledeculte.com.","https://www.salledeculte.com/centre-aide/general","Général","460"
"https://www.salledeculte.com/mentions-legales","200","Mentions légales | salledeculte.com","Mentions légales et informations sur l&#x27;éditeur du site salledeculte.com.","https://www.salledeculte.com/mentions-legales","Mentions légales","323"
"https://www.salledeculte.com/cgu","200","Conditions générales d&#x27;utilisation | salledeculte.com","Conditions générales d&#x27;utilisation de la plateforme salledeculte.com, politique d&#x27;annulation et politique litiges/caution.","https://www.salledeculte.com/cgu","Conditions générales d&#x27;utilisation (CGU)","1129"
"https://www.salledeculte.com/cgv","200","Conditions générales de vente | salledeculte.com","Conditions générales de vente des services payants de salledeculte.com et règles de paiement.","https://www.salledeculte.com/cgv","Conditions générales de vente (CGV)","1320"
"https://www.salledeculte.com/confidentialite","200","Politique de confidentialité | salledeculte.com","Comment salledeculte.com collecte, utilise et protège vos données personnelles.","https://www.salledeculte.com/confidentialite","Politique de confidentialité","690"
"https://www.salledeculte.com/cookies","200","Politique de cookies | salledeculte.com","Informations sur les cookies utilisés sur salledeculte.com et comment les gérer.","https://www.salledeculte.com/cookies","Politique de cookies","647"
"https://www.salledeculte.com/plan-du-site","200","Plan du site | salles-du-culte.com | salledeculte.com","Plan du site de salles-du-culte.com : aperçu de toutes les sections principales du site.","","Plan du site","114"
"https://www.salledeculte.com/blog/choisir-salle-evenement-cultuel","200","Comment choisir une salle adaptée à un événement cultuel ? | salledeculte.com | salledeculte.com","Capacité, normes ERP, acoustique, accessibilité… Le guide pratique et la checklist pour ne rien oublier.","https://www.salledeculte.com/blog/choisir-salle-evenement-cultuel","Comment choisir une salle adaptée à un événement cultuel ?","348"
"https://www.salledeculte.com/blog/salle-erp-organisateurs","200","Salle ERP : ce que les organisateurs doivent absolument vérifier | salledeculte.com | salledeculte.com","Qu&#x27;est-ce qu&#x27;une salle ERP ? Pourquoi c&#x27;est important pour la sécurité et la responsabilité.","https://www.salledeculte.com/blog/salle-erp-organisateurs","Salle ERP : ce que les organisateurs doivent absolument vérifier","323"
"https://www.salledeculte.com/blog/louer-salle-particulier-vs-plateforme","200","Louer une salle pour un événement : particulier vs plateforme spécialisée | salledeculte.com | salledeculte.com","Comparatif : clarté des infos, photos fiables, compatibilité événements, filtrage, rapidité de contact.","https://www.salledeculte.com/blog/louer-salle-particulier-vs-plateforme","Louer une salle pour un événement : particulier vs plateforme spécialisée","307"
"https://www.salledeculte.com/blog/checklist-organisation-evenement","200","Check-list organisation événement | salledeculte.com | salledeculte.com","Les étapes essentielles pour organiser sereinement votre événement cultuel.","https://www.salledeculte.com/blog/checklist-organisation-evenement","Check-list organisation événement","307"